d,m,topk,relmse,caterr
100,150,100,3.1646650550315707,81
100,200,100,3.0473986323465865,75
100,250,100,2.6679487275355025,71
100,300,100,2.5388156705160303,68
100,350,100,2.5199708691529565,60
100,400,100,2.4203102747543346,76
100,500,100,2.1644240082649366,63
100,600,100,1.8053603973969907,50
100,700,100,1.6400009393404615,43
100,800,100,1.5884692968239487,40
100,900,100,1.4707958862379684,38
100,1000,100,1.3483629195393843,34
100,1500,100,0.7943525855299234,14
100,2000,100,0.6288368521057996,10
100,2500,100,0.502296049108174,7
100,3000,100,0.46545220495979484,5
100,3500,100,0.48275996350059647,6
100,4000,100,0.5142588184251761,6
