d,m,topk,relmse,caterr
20,3000,100,15.51388802916302,7
30,3000,100,8.035641049720331,7
50,3000,100,3.1981082365837854,7
75,3000,100,1.5174231253286585,7
90,3000,100,1.0654477214619504,7
100,3000,100,0.872596506622991,5
120,3000,100,0.6171159098886311,8
150,3000,100,0.40221316980987565,6
180,3000,100,4.6238843737069475,8
210,3000,100,0.2096635395256497,8
250,3000,100,0.15015319779887584,7
270,3000,100,3.9957350639666425,7
300,3000,100,3.7492812325315463,6
350,3000,100,3.417485664592163,8
400,3000,100,3.2567640987215487,8
450,3000,100,3.310834180054868,5
500,3000,100,3.186206296538372,8
650,3000,100,2.8782904390635538,7
600,3000,100,3.0343316773793685,7
700,3000,100,2.8870442447319076,5
800,3000,100,2.761345427386762,6
1000,3000,100,2.958479260150095,7
1500,3000,100,6.635604450421286,7
2000,3000,100,8.526701184759927,6
2500,3000,100,11.424886274935819,8
