d,m,topk,relmse,caterr
100,150,100,82.11419218903437,83
100,200,100,74.28470528458729,72
100,250,100,67.05107357773622,75
100,300,100,64.24187970244192,65
100,350,100,55.8974073072963,57
100,400,100,53.58331333961706,57
100,500,100,38.68893431035889,35
100,600,100,33.129514816657164,26
100,700,100,26.67693556710093,19
100,800,100,21.457470576786662,13
100,900,100,16.421125008162623,11
100,1000,100,12.319261898538878,6
100,1500,100,0.5204619346709263,6
100,2000,100,0.6307468715039598,7
100,2500,100,0.7514453001974752,8
100,3000,100,0.8766466505594458,8
100,3500,100,0.9956354423782547,7
100,4000,100,1.1125882339292847,8
